1, 'nombre_1', 36
2, 'nombre_2', 18
3, 'nombre_3', 11
4, 'nombre_4', 27
5, 'nombre_5', 20
6, 'nombre_6', 24
7, 'nombre_7', 25
8, 'nombre_8', 29
9, 'nombre_9', 33
10, 'nombre_10', 15
11, 'nombre_11', 19
12, 'nombre_12', 21
13, 'nombre_13', 36
14, 'nombre_14', 33
15, 'nombre_15', 14
16, 'nombre_16', 37
17, 'nombre_17', 34
18, 'nombre_18', 15
19, 'nombre_19', 17
20, 'nombre_20', 34
21, 'nombre_21', 16
22, 'nombre_22', 19
23, 'nombre_23', 26
24, 'nombre_24', 19
25, 'nombre_25', 18
26, 'nombre_26', 24
27, 'nombre_27', 30
28, 'nombre_28', 22
29, 'nombre_29', 14
30, 'nombre_30', 30
31, 'nombre_31', 24
32, 'nombre_32', 40
33, 'nombre_33', 32
34, 'nombre_34', 36
35, 'nombre_35', 32
36, 'nombre_36', 28
37, 'nombre_37', 37
38, 'nombre_38', 39
39, 'nombre_39', 27
40, 'nombre_40', 39
41, 'nombre_41', 14
42, 'nombre_42', 11
43, 'nombre_43', 39
44, 'nombre_44', 22
45, 'nombre_45', 19
46, 'nombre_46', 38
47, 'nombre_47', 38
48, 'nombre_48', 21
49, 'nombre_49', 23
50, 'nombre_50', 24
51, 'nombre_51', 30
52, 'nombre_52', 29
53, 'nombre_53', 19
54, 'nombre_54', 37
55, 'nombre_55', 29
56, 'nombre_56', 40
57, 'nombre_57', 23
58, 'nombre_58', 28
59, 'nombre_59', 38
60, 'nombre_60', 10
61, 'nombre_61', 39
62, 'nombre_62', 32
63, 'nombre_63', 32
64, 'nombre_64', 31
65, 'nombre_65', 21
66, 'nombre_66', 12
67, 'nombre_67', 25
68, 'nombre_68', 29
69, 'nombre_69', 23
70, 'nombre_70', 24
71, 'nombre_71', 38
72, 'nombre_72', 13
73, 'nombre_73', 39
74, 'nombre_74', 39
75, 'nombre_75', 30
76, 'nombre_76', 23
77, 'nombre_77', 34
78, 'nombre_78', 37
79, 'nombre_79', 40
80, 'nombre_80', 18
81, 'nombre_81', 36
82, 'nombre_82', 26
83, 'nombre_83', 32
84, 'nombre_84', 36
85, 'nombre_85', 27
86, 'nombre_86', 33
87, 'nombre_87', 14
88, 'nombre_88', 25
89, 'nombre_89', 22
90, 'nombre_90', 26
91, 'nombre_91', 36
92, 'nombre_92', 32
93, 'nombre_93', 15
94, 'nombre_94', 31
95, 'nombre_95', 39
96, 'nombre_96', 32
97, 'nombre_97', 11
98, 'nombre_98', 33
99, 'nombre_99', 21
100, 'nombre_100', 32
101, 'nombre_101', 35
102, 'nombre_102', 13
103, 'nombre_103', 25
104, 'nombre_104', 39
105, 'nombre_105', 29
106, 'nombre_106', 32
107, 'nombre_107', 27
108, 'nombre_108', 24
109, 'nombre_109', 31
110, 'nombre_110', 40
111, 'nombre_111', 38
112, 'nombre_112', 27
113, 'nombre_113', 26
114, 'nombre_114', 21
115, 'nombre_115', 38
116, 'nombre_116', 13
117, 'nombre_117', 23
118, 'nombre_118', 40
119, 'nombre_119', 23
120, 'nombre_120', 25
121, 'nombre_121', 34
122, 'nombre_122', 23
123, 'nombre_123', 38
124, 'nombre_124', 35
125, 'nombre_125', 40
126, 'nombre_126', 20
127, 'nombre_127', 13
128, 'nombre_128', 13
129, 'nombre_129', 34
130, 'nombre_130', 20
131, 'nombre_131', 28
132, 'nombre_132', 30
133, 'nombre_133', 32
134, 'nombre_134', 18
135, 'nombre_135', 19
136, 'nombre_136', 27
137, 'nombre_137', 26
138, 'nombre_138', 34
139, 'nombre_139', 14
140, 'nombre_140', 37
141, 'nombre_141', 40
142, 'nombre_142', 10
143, 'nombre_143', 30
144, 'nombre_144', 15
145, 'nombre_145', 21
146, 'nombre_146', 20
147, 'nombre_147', 34
148, 'nombre_148', 25
149, 'nombre_149', 31
150, 'nombre_150', 40
151, 'nombre_151', 37
152, 'nombre_152', 39
153, 'nombre_153', 31
154, 'nombre_154', 37
155, 'nombre_155', 13
156, 'nombre_156', 24
157, 'nombre_157', 17
158, 'nombre_158', 17
159, 'nombre_159', 22
160, 'nombre_160', 23
161, 'nombre_161', 34
162, 'nombre_162', 16
163, 'nombre_163', 34
164, 'nombre_164', 33
165, 'nombre_165', 36
166, 'nombre_166', 23
167, 'nombre_167', 24
168, 'nombre_168', 14
169, 'nombre_169', 28
170, 'nombre_170', 39
171, 'nombre_171', 22
172, 'nombre_172', 37
173, 'nombre_173', 30
174, 'nombre_174', 16
175, 'nombre_175', 21
176, 'nombre_176', 38
177, 'nombre_177', 25
178, 'nombre_178', 19
179, 'nombre_179', 14
180, 'nombre_180', 23
181, 'nombre_181', 29
182, 'nombre_182', 26
183, 'nombre_183', 34
184, 'nombre_184', 24
185, 'nombre_185', 16
186, 'nombre_186', 12
187, 'nombre_187', 23
188, 'nombre_188', 26
189, 'nombre_189', 31
190, 'nombre_190', 27
191, 'nombre_191', 16
192, 'nombre_192', 34
193, 'nombre_193', 33
194, 'nombre_194', 36
195, 'nombre_195', 10
196, 'nombre_196', 23
197, 'nombre_197', 23
198, 'nombre_198', 14
199, 'nombre_199', 25
200, 'nombre_200', 11
201, 'nombre_201', 20
202, 'nombre_202', 32
203, 'nombre_203', 21
204, 'nombre_204', 25
205, 'nombre_205', 33
206, 'nombre_206', 25
207, 'nombre_207', 27
208, 'nombre_208', 21
209, 'nombre_209', 27
210, 'nombre_210', 30
211, 'nombre_211', 35
212, 'nombre_212', 26
213, 'nombre_213', 37
214, 'nombre_214', 13
215, 'nombre_215', 40
216, 'nombre_216', 38
217, 'nombre_217', 16
218, 'nombre_218', 40
219, 'nombre_219', 18
220, 'nombre_220', 28
221, 'nombre_221', 36
222, 'nombre_222', 27
223, 'nombre_223', 25
224, 'nombre_224', 31
225, 'nombre_225', 24
226, 'nombre_226', 11
227, 'nombre_227', 19
228, 'nombre_228', 21
229, 'nombre_229', 31
230, 'nombre_230', 40
231, 'nombre_231', 16
232, 'nombre_232', 40
233, 'nombre_233', 37
234, 'nombre_234', 29
235, 'nombre_235', 23
236, 'nombre_236', 13
237, 'nombre_237', 24
238, 'nombre_238', 20
239, 'nombre_239', 27
240, 'nombre_240', 17
241, 'nombre_241', 17
242, 'nombre_242', 36
243, 'nombre_243', 33
244, 'nombre_244', 32
245, 'nombre_245', 25
246, 'nombre_246', 35
247, 'nombre_247', 37
248, 'nombre_248', 29
249, 'nombre_249', 14
250, 'nombre_250', 20
251, 'nombre_251', 12
252, 'nombre_252', 29
253, 'nombre_253', 27
254, 'nombre_254', 10
255, 'nombre_255', 28
256, 'nombre_256', 36
257, 'nombre_257', 38
258, 'nombre_258', 16
259, 'nombre_259', 17
260, 'nombre_260', 18
261, 'nombre_261', 28
262, 'nombre_262', 24
263, 'nombre_263', 15
264, 'nombre_264', 11
265, 'nombre_265', 16
266, 'nombre_266', 22
267, 'nombre_267', 18
268, 'nombre_268', 28
269, 'nombre_269', 12
270, 'nombre_270', 15
271, 'nombre_271', 37
272, 'nombre_272', 38
273, 'nombre_273', 10
274, 'nombre_274', 11
